index,Song_name,type,artist,lyrics
53,आपके प्यार में,romantic,अलका याग्निक,प्यार संवर देखके आपको निखार कदर आपसे मोहब्बत कदर आपसे मोहब्बत टूटके बाज बिखर प्यार संवर तड़प आलम पागल तड़प आलम पागल मिल जिसकी कबसे तलाश बैचै सांस जन्म प्यास जिस्म रूह उतर जिस्म रूह उतर कदर आपसे मोहब्बत कदर आपसे मोहब्बत टूटके बाज बिखर प्यार संवर रूप आंच तन पिघल आग लग जाय मन मचल रूप आंच तन पिघल आग लग जाय मन मचल लब टकर दिलबर होंठ चिंगार उड़ शबनम चोट सनम हद गुजर सनम हद गुजर कदर आपसे मोहब्बत कदर आपसे मोहब्बत टूटके बाज बिखर प्यार संवर 
54,आया मौसम,romantic,लता मंगेशकर,लड़की लड़का सच कह मौसम दोस् मौसम दोस् कामैं लड़की लड़के मिल मौसम दोस् मौसम दोस् काला लाज तुम्हारी पहचान तुम्हारी पहचान हैतुम मान एहसान एहसान बात छोड़ो हमसे ना जोड़ो मौसम दोस् का… मौसम दोस् जानू चीज़ होवे प्यार करजवा नजर कटार जानू चीज़ होवे प्यार करजवा नजर कटार अरी दीवा ना नादा बात बड़ी तूफ़ा नह मौसम दिल्लगी नह मौसम ख़ुद्कुशी तारा रु रु रू रु रिश् नह बाँधे डोर रिश् नह बाँधे डोर दोस् बात दीवानापन दिल धड़कन मौसम दोस् 
55,आयात,romantic,अरिजीत सिंह,याद याद आयात कायाम कायाम रिवायत याद मर तलक रह मर तलक रह याद याद आयात मोहब्बत हयात लम्हा जी मुक़द्दर बात इश्क़ दुनिया इश्क़ दुनिया जान-ए-मन लफ्ज़ छुपी क़ायनात दिल राहत ज़रिया इश्क़ दिल ईद मन ज़िक्र ज़िक्र इबादत याद याद आयात 
56,आशिक आवारा,party,बादशाह,गो यारा बारा बुल जे ना दस गुज़ारा आशिक आशिक आवारा नेड़े नेड़े नेड़े नेड़े ना नेड़े नेड़े नेड़े नेड़े ना जैसी दुनिया कुडिया काफी वैसे मिनट लाख उड़ा आग पैसे थोड़ा सबर बेबी जल वाल खबर बेबी मा थोड़ा busy बेबी मिल देख कसार बेबी फॉलो डाइट प्लान फिगर बदल फ्लाइट प्लान नह समझाऊँ शायद सज़ा मिलके आएगा मज़ा यारा बारा बुल जे ना दस गुज़ारा आशिक आशिक आवारा नेड़े नेड़े नेड़े नेड़े ना नेड़े नेड़े नेड़े नेड़े ना गर्ल फ्रेंड हट ब्रेकअप वेट शायद चाह नह खुश शायद चाह डेट उंह but बेबी खबर फि गान जी बेबी दिल बेबी जिगर वाह अर्जी खुदगर्ज़ी ना मर्ज़ी चला समझा बि यारा बारा बुल जे ना दस गुज़ारा आशिक आशिक आवारा नेड़े नेड़े नेड़े नेड़े ना नेड़े नेड़े नेड़े नेड़े ना दस दस दस दस दस दस 
57,आशिक़ हूँ मैं,romantic,आशा भोसले,आशिक़ जान-ए-जिगर देख नज़र आशिक़ जान-ए-जिगर देख नज़र बहार समा दिल जव बैरी ज़म जले जले आशिक़ जान-ए-जिगर देख नज़र आशिक़ जान-ए-जिगर देख नज़र बहार समा दिल जवान बैरी ज़म जले जले आशिक़ जान-ए-जिगर हुस्न बिजली गिरा चेहरे डाल जुल्फ घटा खाव्ब हूर खुशबू राह बाँह सी लूं ख्यालो बसा लूं बैरी जम जले जले साम महबूब मौसम जव खूब वफ़ा अफ़स लिख बैरी जम जले जले जिगर ना उलफत नशा पागल अदा पलक रह लम्हा दिन जी बिन ज़िंदगा कहा बैरी ज़म जले जले कहो दूरी सहूं निगाह बसाऊ जाओं बैरी ज़म जले जले आशिक जान-ए-जिगर देख नज़र आशिक जान-ए-जिगर देख नज़र बहार समा दिल जव बैरी ज़म जले जले जले जले बैरी ज़म जले जले… 
58,आशियाँ,romantic,श्रेया घोषाल,हंसी हंसी टुकड़ा चाँद ख्वाब तिनक चल बन आश हंसी हंसी टुकड़ा चाँद ख्वाब तिनक चल बन आश दबे दबे पाऊँ हौले हौले ज़िन्दगी होठ कुण्डी चढ़ा ताले चल गुमसुम तर चुपके चुपके गाय आधी आधी बाँट दिल ज़मीन थोड़ा आश हंसी हंसी टुकड़ा चाँद ख्वाब तिनक चल बन आश ना चार दीवार झरोखे खुले बादल परदे शाखी हरी पंखा झले ना तकरार मस् ठहाके प्यार सिक्क मही खर्चा दबे दबे पाऊँ हौले हौले ज़िन्दगी होठ कुण्डी चढ़ा ताले चल गुमसुम तर चुपके चुपके गाय आधी आधी बाँट दिल ज़मीन थोड़ा आश हंसी टुकड़ा चाँद ख्वाब तिनक चल बन आश हंसी टुकड़ा चाँद ख्वाब तिनक चल बन आश 
59,आसान नहीं यहाँ,sad,अरिजीत सिंह,आसान नह आशिक़ पलक काँट सज आशिक़ मिल ग़म सौगात ना मिल ख़ज बात वाद देखो ज़रा हो… शोला चिंगारी जव आग येह जिस्म भागे फिर उतरो रूह आशिक़ आशिक़ी ख़बर 
60,आहिस्ता,romantic,अरिजीत सिंह,फ़ासला पूछे दिल भला दिल सवाल ना रुला आहिस् आहिस् आहिस् आहिस् बात कह प्यार ख़ुशी टह शाम सहर हँस याद तुम्हारी पह आहिस् आहिस् आहिस् आहिस् 
61,आहिस्ता आहिस्ता,sad,फरहान अख्तर,आहिस् आहिस् महफ़िल सू गय खो गय ज़म रौश साय गुज़री शाम तनहा आहिस् आहिस् संग छोड़ राह जुदा ना मोड़ लम्हा ना पा आहिस् आहिस् आहिस् आहिस् तन्हा ज़िन्दगी ख़ामोशी आहिस् आहिस् संग छोड़ राह जुदा ना मोड़ लम्हा ना पा आहिस् आहिस् आहिस् आहिस् गुज़रा बिखरी टुकड़ याद आहिस् आहिस् संग छोड़ राह जुदा ना मोड़ लम्हा ना पा आहिस् आहिस् 
62,आहो मित्रां दी येस है,party,बादशाह,इमेज रखे नीट यारी ना करी चीट बिन बात फुकरि ग्राउंड रखे फ़ीट ना चेज फ़ुल लाइफ़ क्रेज़ बात ना स्ट्रेस मित्र येस मित्र येस मित्र मित्र आहो मित्र आहो मित्र गाड़ी साइज़ ना मैटर साइज़ दिल टेन्शन बात साड्डे नाड़ चिल्ल गाड़ी साइज़ ना मैटर साइज़ दिल टेन्शन बात साड्डे नाड़ चिल्ल कड़े लैदा नी लोड हैपी रखदे मूँड़ चाहे ज़िंदगी च जि वड्डी मेस मित्र येस मित्र येस मित्र मित्र आहो मित्र आहो मित्र गुड फ़ील पास मैडम क्लास फ़ीट स्वराज डिनर करा ताज यूबोन सु गा खामख ना बह कूल लीप चिल्ल रहके सोच आए मन दिल ज़िद मुंडा हेगा लिमिटेड कोरनिटोस नॉचोज़ फ़्लेवर्ज़ बेस्ट मित्र येस मित्र येस मित्र मित्र आहो मित्र आहो मित्र पार्टी मस् दिन उप नाच फ़ुल आन ग्रांड सीन स्वैग हब मस् दिन उप नाच फ़ुल आन ग्रांड सीन स्वैग हब लोग करी जान साड़ा मूहो बोल ना महड़ा शोर पायी जानदी साड्डी सक्सेस मित्र येस मित्र येस मित्र मित्र आहो मित्र आहो मित्र पार्टी 
63,इक दिन बिक जाएगा,romantic,मुकेश,दिन बिक जाएगा माटी मोल जग प्यारे बोल दिन बिक जाएगा माटी मोल जग प्यारे बोल दूजे होंठ दे गीत निशा छोड़ दुनिया डोल दिन बिक जाएगा माटी मोल जग प्यारे बोल ललल्लल्ला अनहो पग काँट लाख बिछ हो बिछड़ा यार मिल अनहो पग काँट लाख बिछ हो बिछड़ा यार मिल बिरहा दूरी पल मजबूरी दिलवाला काहे घबराये तरम्पम धारा बह बहके बह धारा दुनिया डोल दिन बिक जाएगा माटी मोल जग प्यारे बोल परदे बैठी साँवली गोरी थाम मन डोरी परदे बैठी साँवली गोरी थाम मन डोरी डोरी ना छूटे बन्धन ना टूटे भोर वाली रै थोड़ी तरम्पम सर झुक बैठा यार गोरी नै जोड़ दुनिया डोल दिन बिक जाएगा माटी मोल जग प्यारे बोल 
64,इक मलाल,sad,शैल हडा,मलाल मलाल मलाल मलाल बून रंजिश जाल मलाल मलाल सोच दीवार तारीख लिख चला सास मिनारो ख्वाहिश रख चला गर्दिश सवाल मलाल मलाल मलाल मलाल 
65,इक याद पुरानी,sad,तुलसी कुमार,चाँद बिछड़ी रात आधी मुलाकात बात दर्द सुना याद पुरा कहा बारिश समझी अँख पा याद पुरा कहा बारिश समझी अँख पा इश्के लकीर किस्सा रांझे हीर विछोड़े उड़ा पन् तकदीर इश्के लकीर किस्सा रांझे हीर विछोड़े उड़ा पन् तकदीर दीव दीवा याद पुरा कहा बारिश ना समझी अँख पा याद पुरा कहा बारिश समझी अँख पा खत प्यार पास अल्फाज धड़क एहसास खत प्यार पास अल्फाज धड़क एहसास नह साथ निशा याद पुरा कहा बारिश समझी अँख पा 
66,इक वारि आ,romantic,अरिजीत सिंह,वारि यारा वारि राह ताकुं बेचारा वारि वारि यारा वारि राह ताकुं बेचारा वारि ढल शाम दिल यार चाँद तारा वारि वारि यारा वारि इश्क इन्तेह ले इम्तेहान हद गुजर चाहत धड़कन बेताब इल्तेजा लग गले ज़रा मिले राहत चाह काम काम बेकरार उसपे शमा प्यारा वारि वारि यारा वारि 
67,इंतज़ार,romantic,"अरिजीत सिंह , असीस कौर",दिल महसूस दफा जिंदा नज़र जी नज़र गुम पल इंतेज़ार करार आस दिल बेशुमार बयान इंतेज़ार इंतेज़ार इंतेज़ार कमी खता मोहब्बत पायी सज़ा दिल नही वफ़ाएँ वक़्त मेहरब कहा कहा मिल इंतेज़ार करार आस दिल बेशुमार बयान इंतेज़ार इंतेज़ार इंतेज़ार इंतेज़ार इंतेज़ार इंतेज़ार 
68,इतना न मुझसे तू,romantic,लता मंगेशकर,प्यार बढ़ा बादल आवारा सहारा बनूँ बेघर बेचारा प्यार बादल आवारा जनम जनम साथ जल धारा प्यार बढ़ा बादल आवारा जनम जनम साथ जल धारा जगह आराम नह रुक काम नह जगह आराम नह रुक काम नह साथ दोगी देश विदेश बंजारा प्यार बढ़ा बादल आवारा सहारा बनूँ बेघर बेचारा प्यार बादल आवारा जनम जनम साथ जल धारा नील गगन दीव प्यार पहच नील गगन दीव प्यार पहच साथ चलूँ हारा प्यार बादल आवारा जनम जनम साथ जल धारा प्यार बढ़ा बादल आवारा सहारा बनूँ बेघर बेचारा प्यार नादान पागल अरमान प्यार नादान पागल अरमान लौट मुश्किल छोड़ जग प्यार बढ़ा बादल आवारा जनम जनम साथ जल धारा 
69,इतनी सी बात है,romantic,"अरिजीत सिंह , अंतरा मित्रा",दर आके थम नै नमाज़ी दूजे ढल आशिक़ आयत कैसी दिल लग रूह रुब खाली खाली भर चलो साफ़ साफ़ कह बात प्यार नह जान दे बात प्यार चलो साफ़ साफ़ कह बात प्यार प्यार ना धुप ज़रूरी ना छाँव ज़रूरी मिल इश्क़ ज़मीन ज़रूरी ख़ुदा रब दुनिया ज़िन्दगी चलो साफ़ साफ़ कह बात प्यार नह जान दे बात प्यार प्यार तीजा मांगू ख़ुदा दिल रिश् साँस नाज़ुक दूजा ना ना दिल सी जान चाह पिया हरपल हरदम हमदम साफ़ साफ़ कह बात प्यार नह जान दे बात प्यार चलो साफ़ साफ़ कह बात प्यार प्यार 
70,इश्क़ दा मारा,romantic,जुबिन नौटियाल ,लाख बचाये नै रोक ना पाये नै लाख बचाये नै रोक ना पाये नै खुदाईय लुटाईय खुदाईय लुटाईय हद हाय रब्बा दिल बेचारा उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ खुदाईय लुटाईय खुदाईय लुटाईय हद हाय रब्बा दिल बेचारा उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ चेहरा देखूं खुदा चेहरा देखूं खुदा दिल दुआ खो खुदाईय लुटाईय खुदाईय लुटाईय हद हाय रब्बा दिल बेचारा उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ ज़िद ना छोड़े दिल जज़्ब ज़िद ना छोड़े दिल जज़्ब सोचे दिन राति सदके बिन ना पाए खुदाईय लुटाईय खुदाईय लुटाईय हद हाय रब्बा दिल बेचारा उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ खुदाईय लुटाईय खुदाईय लुटाईय हद हाय रब्बा दिल बेचारा उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ उनसे कहदो ना इश्क़ 
71,इश्क बिना,sad,ए.आर. रहमान,इश्क बि मर यारा इश्क बि जी इश्क बि मर यारा इश्क बि जीनागुड़ मीठा इश्क-इश्क इमली खट्टा इश्क वादा पक्का इश्क-इश्क धागा कच्चा इश्क ओइश्क बि मर यारा इश्क बि जी इश्क बि मर यारा इश्क बि जीनागुड़ मीठा इश्क-इश्कइमली खट्टा इश्क इश्क बि मर याराइश्क बि जीनानीचे इश्क रब हैइन नह बात लोसौ बात मतलब हैरब सो इश्क-इश्करब सो इश्कओ ओइश्क बि जी यारोंइश्क बि मर यारोंगुड़ मीठा इश्क-इश्कइमली खट्टा इश्क इश्कहीरा ना पन् इश्क-इश्कबस तमन् इश्क-इश्कइश्क बि जीनाबस तमन् इश्क-इश्कइश्क पताये इश्क पताये प्रेम नगर अनजान डगरसाजन खबरछोटी उमर लम्बा सफ़रये इश्क पताये दर्द दर्द दवाये सनम खुदाये सनम खुदाइश्क बि मर याराइश्क बि जीनातुम इश्क सु हैहम इश्क हैफूल गुलशन इश्क-इश्ककाँट दामन इश्क ओइश्क बि जी यारोंइश्क बि जी यारोंइश्क बि मर यारोंगुड़ मीठा इश्क-इश्कइमली खट्टा इश्क इश्कओ 
72,इश्क़ मस्ताना,romantic,शंकर महादेवन,मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त हां मन होशियारी आज़ाद जग दुनिया यारी मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ बिछड़े प्यारी बिछड़े प्यारी मटक दर-ब-दर फिर यार हां मन इन्तेज़री मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ कबीर खड़ा बाज़ार मांगे सबकी खैर ना दोस् ना बैर मन इश्क़ मस्त मन होशियारी आज़ाद जग दुनिया यारी मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ मन इश्क़ मस्त इश्क़ मस्त इश्क़ मस्त इश्क़ 
73,इश्क़ मुबारक,romantic,अरिजीत सिंह,इश्क़ मुबारक रंग मुबारक इश्क़ मुबारक रंग मुबारक बारिश भीगाये हव बहाये पांव तले ज़मीन चल पड़ी नह दिल मुबारक प्यार दिल मुबारक प्यार इश्क़ मुबारक रंग मुबारक इश्क़ मुबारक रंग मुबारक पहल ठहरा वहीँ दिल शहर शहर जाके लौटा ना लाप मिल ज़रा दिल मुबारक प्यार इश्क़ मुबारक रंग मुबारक इश्क़ मुबारक रंग मुबारक इश्क़ मुबारक 
74,इश्क़बाज़ियाँ,romantic,जुबिन नौटियाल ,दिल खेल होठ ना बोल बोल नै इश्क़बाज़ नै इश्क़बाज़ दिल मुश्क़ान पेह कलेजे ठंड जान देखा तेनू वारी जागे अरमान अदा जट क़ुर्बान दिल मुश्क़ान पेह कलेजे ठंड जान देखा तेनू वारी जागे अरमान अदा जट क़ुर्बान साडा चिड़ चम्बा बाबुल अस्सा उड़ साडा चिड़ चम्बा बाबुल अस्सा उड़ होंठ आता आपे दिल नह रह जग भूल टूट ख़ामोश इन्तेज़ार वक़्त नह आता दिल खेल होठ ना बोल बोल नै इश्क़बाज़ नै इश्क़बाज़ दिल मुश्क़ान पेह कलेजे ठंड जान देखा तेनू वारी जागे अरमान अदा जट क़ुर्बान 
75,इश्क़ेदारियां,romantic,"अंकित तिवारी
",रिश्तेदार छोड़ जाएं इश्क़ेदार संग जाएं दिलदार ढल जाएँ इश्क़ेदार रंग जाएं मत्था मीठी लागे खट्टा मीठी लागे थोड़ी तीखी इश्क़दारी कच्ची पक्की लागे झूठी सच्ची लागे थोड़ी अच्छी इश्क़दारी इश्क़ा इश्क़ा इश्क़ा इश्क़ा दिन रात बाह खो जाएं दिल जिनसे मिले जाएं सुबह भोली लागे शाम भाली लागे थोड़ी भूली इश्क़दारी कच्ची पक्की लागे झूठी सच्ची लागे थोड़ी अच्छी इश्क़दारी इश्क़ा इश्क़ा इश्क़ा इश्क़ा हाथ बढ़ जाएँ दुनिया जाएँ छत ना छज्जा ना चाहे लज्ज ना लज्जा ना चाहे थोड़ी बच्ची इश्क़दारी रिश्तेदार छोड़ जाएँ इश्क़ेदार संग जाय दिलदार ढल जाएँ इश्क़ेदार रंग जाएं इश्क़ा इश्क़ा इश्क़ा इश्क़ा 
76,इस बात का बहाना अच्छा है,romantic,कविता कृष्णामूर्ति,बात बह अच्छा बरसात बह अच्छा बात बह अच्छा बरसात बह अच्छा दिल तोड़ दिल तोड़ मुलाकात बह अच्छा बात बह अच्छा बरसात बह अच्छा दिल तोड़ दिल तोड़ मुलाकात बह अच्छा प्यासे दिल मिले प्यासी घटा जानम नज़र प्यासे दिल मिले प्यासी घटा जानम नज़र संग दिल सौद दर्दे दिल पहच समझौ काडर दिल देदे दिल लेले सौगात बह अच्छा बात बह अच्छा बरसात बह अच्छा बूंद गिरी सावन बदन जल आग सांसो जादू चल बूंद गिरी सावन बदन जल आग सांसो जादू चल सम भीगे मौसम रोज रोज चाह तडपाये दुरी दिन रात बह अच्छा बात बह अच्छा बरसात बह अच्छा बात बह अच्छा बरसात बह अच्छा दिल तोड़ दिल तोड़ मुलाकात बह अच्छा बात बह अच्छा बरसात बह अच्छा दिल तोड़ मुलाकात बह अच्छा 
77,ईलाही,sad,सोनू निगम,चाहे बादल पार ज़मीन जुड़े तार चाहे बादल पार ज़मीन जुड़े तार तलाश दिल परिंदा ढूँढे दिल परीन्दा टुकड़े टुकड़े नाद रह ज़िंदा तलाश दिल परिंदा ढूँढे दिल परीन्दा ईलाही ईलाही ईलाही ईलाही ईलाही ईलाही सप टूटे तारे अबके आख बरसी बादल हारे हाथ घिर दुआ खुदा ना ईलाही ईलाही ईलाही ईलाही ईलाही ईलाही हाथ उजड़े शिकवा ज़र्रा ज़र्रा बिखरे जोड़े जुड़े हिंदी ट्रैक्स पढ़ ना लिखा चल हथेली लकीर मिटा ईलाही ईलाही तलाश दिल परिंदा ढूँढे दिल परीन्दा hinditracksin टुकड़े टुकड़े नाद रह ज़िंदा तलाश दिल परिंदा ढूँढे ईलाही दिल परीन्दा 
78,उड़े दिल बेफिक्रे,romantic,"बेनी दयाल, सोफी चौधरी",उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे अंगार निखरे उड़े दिल बेफिक्रे रात भर झूम आसमान घूम चाँद चूम तार मार फेरे उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे अंगार निखरे उड़े दिल बेफिक्रे डिक्स नयूफ हुइट सेप्ट सिक्स सिंक कुआतरे ट्रोइस डयूक्स दनद झनझ सनस सांस जगमगा जाएँ आँख मिलते-मिलते-मिल डगमगा खानख हडबडा सांस तड़पड़ा जाय बाह मिलते-मिल मिल आग रेले बर्फ धेले बाज़ी खेले दिल टुकड़े उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे अंगार निखरे उड़े दिल बेफिक्रे रोक टोक थाम ना मा तैर दरिया दरिया दरिया जीत हार छीन ना डूब दरिया दरिया दरिया दर्द निखरे हाथ पकडे रूई बिखरे अरमान रूह नखरे उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे अंगार निखरे उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे अंगार निखरे उड़े दिल बेफिक्रे उड़े दिल बेफिक्रे बेफिक्रे उड़े बेफिक्रे बेफिक्रे 
79,उफ़ ,romantic,"बेनी दयाल
",उफ़ दिल थोड़ी खाली जगह उफ़ आके बिन किर जगह ना सकी कैसी बेबसी चुपके चुपके बिन बुल मेहमान उफ़ दिल थोड़ी खाली ना खबर दिल खुस-फूस फ़रम ना खबर दिल खुस-फूस फ़रम उफ़ दिल थोड़ी खाली जगह आके बिन किर जगह ना सकी कैसी बेबसी चुपके चुपके बिन बुल मेहमान उफ़ दिल थोड़ी उफ़ दिल उफ़ उफ़ दिल थोड़ी खाली जगह येह रु कर ख्वाब हमसे ख्वाब हमसे बदलूं रंग कित खामखा उड़ा उड़ा गुब्बारा दिल बुद्धू बेचारा हौले हौले पुकारा चलो चलो चलो आँख मीचे धीरे-धीरे ज़रा-ज़रा खींचे खींचे देखो ना देखो ना खबर दिल खुस-फूस फ़रम ना खबर दिल खुस-फूस फ़रम कह नयी जगह कह नयी जगह खबर देखो छोडो बह दिल बदले दिल नज़र ना खबर दिल खुस-फूस फ़रम हो… उफ़ दिल थोड़ी खाली जगह आके बिन किर जगह ना सकी कैसी बेबसी चुपके चुपके बिन बुल मेहमान उफ़ दिल थोड़ी खाली ना खबर दिल खुस-फूस फ़रम ना खबर दिल खुस-फूस फ़रम हो… उफ़ दिल थोड़ी खाली जगह उफ़ दिल थोड़ी खाली जगह 
80,ऊँची है बिल्डिंग,party,"अनु मलिक, नेहा कक्कड़",ऊँची बिल्डिंग लिफ्ट आऊँ दिल रजामंद ऊँची बिल्डिंग लिफ्ट आऊँ दिल रजामंद आहा सागर राजा याद सत दुल्हे राजा बैंड बजा याद सत दुल्हे राजा ऊँची बिल्डिंग लिफ्ट आऊँ दिल रजामंद वास् दौड़ आऊंगा सीढ़ चढ़ जाऊँगा दिलबर पड़ नखरा उठ पड़ चुम्वक खींचे अंख मींचे माइकल साइकिल आएगा उत जित करीब आँख मार अजीब अजीब अजीब याद सत सागर राजा याद सत दुल्हे राह टी ना ऊँची बिल्डिंग लिफ्ट आऊँ दिल रजामंद आहा सागर राजा याद सत दुल्हे राजा सागर राजा याद सत दुल्हे राजा 
81,ए खुदा,sad,"मिथुन, क्षितिज तारे, सलीम भट्ट
",कैसी खला दिल बसी खत फिदरत रहमत गिरा खुदा गिर गिर लूट लूट खुदा गिर गिर लूट लूट कैसी खला दिल बसी खत फिदरत रहमत गिरा खुदा गिर गिर लूट लूट खुदा गिर गिर लूट लूट खुदा खुदा खत चला दौलत खुदा पल बिताये हवा गुनाह साये चल समंदर बह चल मर्ज़ी पूरी हां दफा मुजरिम बंदेया खुदा गिर गिर लूट लूट जुड़ दिन गुजर समेट मुठी फिसल शख्स धुल भरा उसमे हकीक़त जान सच मुह फेर चाहे हसरत पूरी रुक ना फितरत समझ मिट जाएगी हस् उबर ना पाय दिल बंदेया खुदा गिर गिर लूट लूट गर सोचे गिरा हाथ थाम उठ ज़रा दिल डर खड़ा ज़रा साये घिरा राह धुल गुनाह नज़र बेकसूर मंजर दिखला शख्स मिलवा दिल सुनवा ज़ख्म ना खुदा गिर गिर लूट लूट 
82,ए दिल ना मुझसे छुपा,romantic,"लता मंगेशकर, मुकेश",दिल ना छुपा सच हुवा दिलरुबा हुवा हुवा तारे गि रात भर याद वोह खाब मदभरा बेहोश खो नींद हमसे रूठ लूट चल दिलरुबा हुवा हुवा खिड़की ना छोडो खुली प्यार चोर टाक कितनो चोरी हुयी मदभरी चांद रात मर्ज दिल दर्द दिल दर्द दावा दिल ना छुपा सच हुवा बा बन ना राज तोह खुल गाए आँखे चुर ना नैन नैन तोह गाए बुरा हुवा दिल मचल बदल दिलरुबा हुवा हुवा 
83,एक गलती,sad,शिवाय व्यास,गल जान जान मान आखिरी मौका शान मान सिर्फ सांसे बाकी याद याद साथ छोड़ ग़ल गल माफ़ कटड़े ग़ल साथ छोड़ मुँह मोड़ बेनिश निशान छोड़ गल जान जान मान आखिरी मौका शान मान शान मान सोचा पी भुला दूंगा पी याद बात छोड़ जी आसान मिलके एहसान याद बात मान चली नमी छा गिर पड़े बादल मुझ आंच दिल आँख साथ याद तकिये रात सो चाह दिल सुन आरज़ू जान जहान अधूरा बिन दिल समझ नह दिल सिर्फ गल जान जान मान आखिरी मौका शान मान शान मान 
84,एक चतुर नार,party,किशोर कुमार,चतुर नार श्रृंगार चतुर नार श्रृंगार मन द्वार घुसत जात मरत जात चतुर नार श्रृंगार बरसा ग ग ग नी नी चतुर नार श्रृंगार उ धाम उ धाम उ धाम धाम धाम धाम अय्यो ब्रुम ब्रुम उ अई अम अह नम नम नम नम नम नम नम बोलो बोलो बोलो बोलो बोलो बोलो बोलो बोलो बोलो बोलो बोलो बोलो चतुर नार बड़ी होशियार चतुर नार बड़ी होशियार जाल फँसत जात हँसत जात हं हं हं हं हं चतुर नार बड़ी होशियार छी गोरी ध्यान धरे लाख लाख दुनिया चतुर छुट्टी दूँगा अबके आवाज़ लग छुट्टी दूँगा तात जम ताका जम ताका नम ताका रम ताक तान ताक केटे बढ़ बुतन चिर बी टकर बढ़ बुतन चिर बी टकर बुड़ खुदी-काचु कुचकाये बुड़ खुदी-काचु कुचकाये छिछके छोरेर मोन मोचक छिछके छोरेर मोन मोचक चि गुड़ चितिंग चि गुड़ खेदी कुचक खेदी कुचक खेदी कुचक हाय हाय कागा गा गा शोर मचाये नारी दास राह चलत राह भुल काला काला कारे नाले मुँह धो काला गा गड़बड़ गा गा सुर बदला गा गा भटका गा गा सुर किधर सुर एन्न इधु येक चतुर नार छोड़ नह येक चतुर नार पकड़ रख मन द्वार घुसत जात मरत जात चतुर नार श्रृंगार नाच आंगन टेढ़ा नारी तन लागे नै उसपे दुनिया वारी नाच आंगन टेढ़ा टेढ़ा टेढ़ा टेढ़ा टेढ़ा टेढ़ा टेढ़ा टेढ़ा टेढ़ा टे टेढ़े ओय केड़े ओय सीधे सीधे सीधे वाह चंदनिया वाह चकोरे राम बन कैसी जोड़ी नचैय्या थैय्या ताल नाचे लंगड़ी घोड़ी देखी देखी चतुर गड़बड़ देखी चतुर भटक सुर समझ नह तु कोरी घास खाई घोड़े घोड़ा बोला निगोड़े गाली देखी चतुर येक चतुर नार घोड़े देखी चतुर येक चतुर नार घोड़े देखी चतुर येक चतुर नार चतुर नार घोड़े चतुर नार अय्यो घोड़े चतुर नार अय्यो घोड़े अय्यो गोरे अय्यो गोरे चतुर नार अय्यो घोड़े चतुरा घोड़ा घोड़ा चतुर घोड़ा घोड़ा-चतुर घोड़ा-चतुर येक रह घोड़ा बोल चतुर बोल गा चतुर नार श्रृंगार चतुर नार बड़ी होशियार मन द्वार घुसत जात जाल फँसत जात मरत जात अई अई अई अई चतुर नार बड़ी होशियार श्रृंगार जाल मन द्वार फँसत जात घुसत जात हँसत जात मरत जात मरत जात मरत जात 
85,एक ज़िन्दगी,sad,"तानिस्का संघवी, सचिन जिगर",बादल जाऊंगी सुर पाऊंगी क्रेजी क्रेजी सप चुन बुन आउंगी हां मा दुनिया नही दुनिया बनाउंगी ज़िन्दगी ख्वाइशा ज़िन्दगी ख्वाइशा पूरी पूरी पूरी ज़िन्दगी ख्वाइशा जी जी जी पूरी जी जी जी पूरी साथ रोक टोक नोक झोक दिल होप ना लाइफ थोड़ी हार्ड अंधे कार्ड हिन्दी ट्रैक्स डॉट स्टार ना मा दुनिया नही दुनिया बनाउंगी ज़िन्दगी ख्वाइशा जी जी जी पूरी जी जी जी पूरी 
